tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1381,2,accountno,AccountNo,string,"게임에서 발행한 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-12-13 08:00:30.247,N
1381,3,nexonsn,NexonSN,long,nexon.com 계정 고유 번호(다른 명칭 으로 oid/uid/useroid/membersn 이라고도 함),2019-12-13 08:00:30.247,N
1381,4,npsn,NPSN,long,"TOY에서 발행된 계정ID, PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-12-13 08:00:30.247,N
1381,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-13 08:00:30.247,N
1381,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-13 08:00:30.247,N
1381,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-12-13 08:00:30.247,N
1381,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-13 08:00:30.247,N
1381,9,processorname,프로세서(CPU) 명,string,프로세서(CPU) 이름,2019-12-13 08:00:30.247,N
1381,10,processorcore,프로세서(CPU) 코어 수,long,프로세서(CPU) 코어 수,2019-12-13 08:00:30.247,N
1381,11,ramsize,램 사이즈,long,램의 사양(단위 Gigabyte),2019-12-13 08:00:30.247,N
1381,12,videoname_array,GPU 정보,string,GPU 제품을 어레이 형태로 표시,2019-12-13 08:00:30.247,N
1381,13,osname,OS 명,string,OS 명칭,2019-12-13 08:00:30.247,N
1381,14,osbit,OS 비트,string,OS 비트 정보,2019-12-13 08:00:30.247,N
1381,15,volumesize,하드 용량,long,하드 용량 정보,2019-12-13 08:00:30.247,N
1381,16,soundname_array,사운드 장치 정보,string,사운드 장치 정보를 어레이로 제공,2019-12-13 08:00:30.247,N
1381,17,pcbang_name,피씨방 이름,string,피씨방 이름,2019-12-13 08:00:30.247,N
1381,18,sido,시/도,string,피씨방이 위치한 시/도,2019-12-13 08:00:30.247,N
1381,19,gu,구,string,피씨방이 위치한 구,2019-12-13 08:00:30.247,N
1381,20,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2019-12-13 08:00:30.247,N
1644,15,identitysn_most_playtime_6m,identitysn 기준 가장 플레이시간이 많은 nexonsn 의 비PC방 플레이타임(6개월),int,identitysn 기준 가장 플레이시간이 많은 nexonsn 의 비PC방 플레이타임(6개월),2020-11-11 05:08:50.777,N
1644,16,nexonsn_totalplaytime_3m,nexonsn기준 누적 플레이시간(3개월),int,nexonsn기준 최근 3개월동안 모든 국내 PC게임을 접속한 누적 시간 (분),2020-11-11 05:08:50.777,N
1432,14,os_platform,OS 플랫폼,string,OS 플랫폼,2020-05-05 07:53:19.193,N
1432,15,first_usedate,최초 사용 시점,datetime,해당 디바이스 최초 사용 시점,2020-05-05 07:53:19.193,N
1432,16,recent_usedate,최근 사용 시점,datetime,해당 디바이스 최근 사용 시점,2020-05-05 07:53:19.193,N
